年,月,産業名_大分類,産業名_中分類,人数_人
令和3年,8月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,158
令和3年,8月,教育，学習支援業,教育，学習支援業,88
令和3年,8月,医療，福祉,医療，福祉,1121
令和3年,8月,複合サービス事業,複合サービス事業,23
令和3年,8月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,797
令和3年,8月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,108
令和3年,8月,合計,合計,4913
令和3年,9月,農，林，漁業,農，林，漁業,57
令和3年,9月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,3
令和3年,9月,建設業,建設業,503
令和3年,9月,製造業,製造業,1027
令和3年,9月,製造業,食料品製造業,203
令和3年,9月,製造業,飲料・たばこ･飼料製造業,50
令和3年,9月,製造業,繊維工業,16
令和3年,9月,製造業,木材・木製品製造業（家具を除く）,4
令和3年,9月,製造業,家具・装備品製造業,4
令和3年,9月,製造業,パルプ・紙・紙加工品製造業,25
令和3年,9月,製造業,印刷・同関連業,5
令和3年,9月,製造業,化学工業,24
令和3年,9月,製造業,石油製品・石炭製品製造業,0
令和3年,9月,製造業,プラスチック製品製造業,47
令和3年,9月,製造業,ゴム製品製造業,0
令和3年,9月,製造業,窯業・土石製品製造業,36
令和3年,9月,製造業,鉄鋼業,16
令和3年,9月,製造業,非鉄金属製造業,21
令和3年,9月,製造業,金属製品製造業,45
令和3年,9月,製造業,はん用機械器具製造業,71
令和3年,9月,製造業,生産用機械器具製造業,79
令和3年,9月,製造業,業務用機械器具製造業,81
令和3年,9月,製造業,電子部品・デバイス・電子回路製造業,67
令和3年,9月,製造業,電気機械器具製造業,80
令和3年,9月,製造業,情報通信機械器具製造業,42
令和3年,9月,製造業,輸送用機械器具製造業,52
令和3年,9月,製造業,その他の製造業,59
令和3年,9月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,0
令和3年,9月,情報通信業,情報通信業,78
令和3年,9月,運輸業，郵便業,運輸業，郵便業,199
令和3年,9月,卸売業，小売業,卸売業，小売業,723
令和3年,9月,金融業，保険業,金融業，保険業,14
令和3年,9月,不動産業，物品賃貸業,不動産業，物品賃貸業,78
令和3年,9月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,94
令和3年,9月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,383
令和3年,9月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,290
令和3年,9月,教育，学習支援業,教育，学習支援業,204
令和3年,9月,医療，福祉,医療，福祉,1395
令和3年,9月,複合サービス事業,複合サービス事業,23
令和3年,9月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,1014
令和3年,9月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,81
令和3年,9月,合計,合計,6166
令和3年,10月,農，林，漁業,農，林，漁業,65
令和3年,10月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,5
令和3年,10月,建設業,建設業,484
令和3年,10月,製造業,製造業,1081
令和3年,10月,製造業,食料品製造業,228
令和3年,10月,製造業,飲料・たばこ･飼料製造業,33
令和3年,10月,製造業,繊維工業,15
令和3年,10月,製造業,木材・木製品製造業（家具を除く）,10
令和3年,10月,製造業,家具・装備品製造業,8
令和3年,10月,製造業,パルプ・紙・紙加工品製造業,17
令和3年,10月,製造業,印刷・同関連業,22
令和3年,10月,製造業,化学工業,6
令和3年,10月,製造業,石油製品・石炭製品製造業,0
令和3年,10月,製造業,プラスチック製品製造業,54
令和3年,10月,製造業,ゴム製品製造業,6
令和3年,10月,製造業,窯業・土石製品製造業,18
令和3年,10月,製造業,鉄鋼業,9
令和3年,10月,製造業,非鉄金属製造業,26
令和3年,10月,製造業,金属製品製造業,81
令和3年,10月,製造業,はん用機械器具製造業,55
令和3年,10月,製造業,生産用機械器具製造業,90
令和3年,10月,製造業,業務用機械器具製造業,51
令和3年,10月,製造業,電子部品・デバイス・電子回路製造業,73
令和3年,10月,製造業,電気機械器具製造業,113
令和3年,10月,製造業,情報通信機械器具製造業,48
令和3年,10月,製造業,輸送用機械器具製造業,72
令和3年,10月,製造業,その他の製造業,46
令和3年,10月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,1
令和3年,10月,情報通信業,情報通信業,83
令和3年,10月,運輸業，郵便業,運輸業，郵便業,314
令和3年,10月,卸売業，小売業,卸売業，小売業,630
令和3年,10月,金融業，保険業,金融業，保険業,29
令和3年,10月,不動産業，物品賃貸業,不動産業，物品賃貸業,48
令和3年,10月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,175
令和3年,10月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,477
令和3年,10月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,267
令和3年,10月,教育，学習支援業,教育，学習支援業,119
令和3年,10月,医療，福祉,医療，福祉,1206
令和3年,10月,複合サービス事業,複合サービス事業,14
令和3年,10月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,1021
令和3年,10月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,157
令和3年,10月,合計,合計,6176
令和3年,11月,農，林，漁業,農，林，漁業,71
令和3年,11月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,4
令和3年,11月,建設業,建設業,531
令和3年,11月,製造業,製造業,935
令和3年,11月,製造業,食料品製造業,155
令和3年,11月,製造業,飲料・たばこ･飼料製造業,42
令和3年,11月,製造業,繊維工業,22
令和3年,11月,製造業,木材・木製品製造業（家具を除く）,5
令和3年,11月,製造業,家具・装備品製造業,14
令和3年,11月,製造業,パルプ・紙・紙加工品製造業,11
令和3年,11月,製造業,印刷・同関連業,4
令和3年,11月,製造業,化学工業,12
令和3年,11月,製造業,石油製品・石炭製品製造業,0
令和3年,11月,製造業,プラスチック製品製造業,59
令和3年,11月,製造業,ゴム製品製造業,3
令和3年,11月,製造業,窯業・土石製品製造業,46
令和3年,11月,製造業,鉄鋼業,9
令和3年,11月,製造業,非鉄金属製造業,26
令和3年,11月,製造業,金属製品製造業,50
令和3年,11月,製造業,はん用機械器具製造業,38
令和3年,11月,製造業,生産用機械器具製造業,75
令和3年,11月,製造業,業務用機械器具製造業,39
令和3年,11月,製造業,電子部品・デバイス・電子回路製造業,60
令和3年,11月,製造業,電気機械器具製造業,143
令和3年,11月,製造業,情報通信機械器具製造業,18
令和3年,11月,製造業,輸送用機械器具製造業,56
令和3年,11月,製造業,その他の製造業,48
令和3年,11月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,1
令和3年,11月,情報通信業,情報通信業,120
令和3年,11月,運輸業，郵便業,運輸業，郵便業,179
令和3年,11月,卸売業，小売業,卸売業，小売業,510
令和3年,11月,金融業，保険業,金融業，保険業,13
令和3年,11月,不動産業，物品賃貸業,不動産業，物品賃貸業,64
令和3年,11月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,81
令和3年,11月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,448
令和3年,11月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,205
令和3年,11月,教育，学習支援業,教育，学習支援業,114
令和3年,11月,医療，福祉,医療，福祉,1166
令和3年,11月,複合サービス事業,複合サービス事業,25
令和3年,11月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,800
令和3年,11月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,166
令和3年,11月,合計,合計,5433
令和3年,12月,農，林，漁業,農，林，漁業,35
令和3年,12月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,3
令和3年,12月,建設業,建設業,423
令和3年,12月,製造業,製造業,1047
令和3年,12月,製造業,食料品製造業,221
令和3年,12月,製造業,飲料・たばこ･飼料製造業,40
令和3年,12月,製造業,繊維工業,11
令和3年,12月,製造業,木材・木製品製造業（家具を除く）,5
令和3年,12月,製造業,家具・装備品製造業,12
令和3年,12月,製造業,パルプ・紙・紙加工品製造業,26
令和3年,12月,製造業,印刷・同関連業,7
令和3年,12月,製造業,化学工業,26
令和3年,12月,製造業,石油製品・石炭製品製造業,0
令和3年,12月,製造業,プラスチック製品製造業,47
令和3年,12月,製造業,ゴム製品製造業,0
令和3年,12月,製造業,窯業・土石製品製造業,35
令和3年,12月,製造業,鉄鋼業,21
令和3年,12月,製造業,非鉄金属製造業,15
令和3年,12月,製造業,金属製品製造業,59
令和3年,12月,製造業,はん用機械器具製造業,65
令和3年,12月,製造業,生産用機械器具製造業,73
令和3年,12月,製造業,業務用機械器具製造業,71
令和3年,12月,製造業,電子部品・デバイス・電子回路製造業,75
令和3年,12月,製造業,電気機械器具製造業,94
令和3年,12月,製造業,情報通信機械器具製造業,35
令和3年,12月,製造業,輸送用機械器具製造業,47
令和3年,12月,製造業,その他の製造業,62
令和3年,12月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,0
令和3年,12月,情報通信業,情報通信業,67
令和3年,12月,運輸業，郵便業,運輸業，郵便業,209
令和3年,12月,卸売業，小売業,卸売業，小売業,659
令和3年,12月,金融業，保険業,金融業，保険業,14
令和3年,12月,不動産業，物品賃貸業,不動産業，物品賃貸業,99
